experiment_id,text_w,voice_w,behaviour_w,structured_w,temporal_w,precision,recall,f1,roc_auc,pr_auc
search_38,0.0,0.4,0.0,0.2,0.3999999999999999,0.15247252747252749,0.8043478260869565,0.25635103926096997,0.7536671369734163,0.1964038950057031
search_48,0.0,0.6,0.0,0.2,0.19999999999999996,0.1437951411687459,0.7934782608695652,0.2434685936631462,0.7331625617562989,0.1959246388877756
search_51,0.0,0.6,0.2,0.2,0.0,0.12847033206314643,0.855072463768116,0.22337908187411262,0.7124639279289151,0.1930268132085005
search_115,0.6,0.0,0.2,0.0,0.19999999999999996,0.0888814913448735,0.967391304347826,0.1628048780487805,0.6878304703980714,0.19261536165675486
search_54,0.0,0.8,0.0,0.2,0.0,0.13319810682893848,0.7137681159420289,0.2245014245014245,0.7218358172835446,0.1924098404647853
search_45,0.0,0.4,0.4,0.2,0.0,0.11350884764782046,0.9528985507246377,0.20285383725414577,0.7151071203528669,0.18985421759286572
search_122,0.8,0.0,0.0,0.0,0.19999999999999996,0.0945440956651719,0.9166666666666666,0.1714092140921409,0.6905632722391167,0.188953567052954
search_105,0.4,0.2,0.2,0.0,0.19999999999999996,0.08669225847728727,0.9818840579710145,0.1593180482069371,0.7138417440618066,0.18866950791505008
search_117,0.6,0.0,0.4,0.0,0.0,0.08023255813953488,1.0,0.14854682454251883,0.6643607937682072,0.18639630510812177
search_7,0.0,0.0,0.2,0.0,0.8,0.1282346175963197,0.8079710144927537,0.22133995037220844,0.7405967188113568,0.18441625232078218
search_118,0.6,0.2,0.0,0.0,0.19999999999999996,0.09156876295784382,0.9601449275362319,0.167192429022082,0.7160465923308038,0.18345296568106295
search_107,0.4,0.2,0.4,0.0,0.0,0.08018593840790238,1.0,0.14846691769768694,0.6984254997579974,0.1832168110664302
search_70,0.2,0.0,0.6,0.2,0.0,0.08063102541630149,1.0,0.1492295214922952,0.7324331296859447,0.1818600622479164
search_90,0.2,0.6,0.2,0.0,0.0,0.08103347034644745,1.0,0.1499185225420967,0.6939724254130024,0.17903163059440114
search_108,0.4,0.4,0.0,0.0,0.19999999999999996,0.09191814082552896,0.9601449275362319,0.16777461221905665,0.7169078701040154,0.1769156847750497
search_12,0.0,0.0,0.4,0.0,0.6,0.11894953656024716,0.8369565217391305,0.20829576194770064,0.7320724089750966,0.1749806462482186
search_85,0.2,0.4,0.2,0.0,0.19999999999999996,0.08733483725427006,0.9818840579710145,0.16040248594258658,0.7028226395623864,0.17174280305421996
search_99,0.4,0.0,0.4,0.0,0.19999999999999996,0.08629441624365482,0.9855072463768116,0.15869311551925322,0.6885753130051231,0.1706027787950437
search_35,0.0,0.2,0.6,0.2,0.0,0.08110490743461651,1.0,0.15004077194889917,0.7246256951864333,0.16494256962449488
search_87,0.2,0.4,0.4,0.0,0.0,0.0804899387576553,1.0,0.14898785425101216,0.6774158013935692,0.1644659480357799
search_88,0.2,0.6,0.0,0.0,0.19999999999999996,0.095016134815346,0.9601449275362319,0.1729200652528548,0.7008261189191164,0.16206570295365838
search_79,0.2,0.2,0.4,0.0,0.19999999999999996,0.08498759305210918,0.9927536231884058,0.15657142857142858,0.7050925545418847,0.16006844058069963
search_53,0.0,0.8,0.0,0.0,0.19999999999999996,0.13717085119412126,0.8115942028985508,0.23467784180199058,0.6961019332803666,0.15399782084121327
search_96,0.4,0.0,0.2,0.0,0.3999999999999999,0.09167249825052484,0.9492753623188406,0.16719846841097638,0.6918189455996638,0.1529969146663624
search_66,0.2,0.0,0.4,0.0,0.3999999999999999,0.09493219129193434,0.9637681159420289,0.1728395061728395,0.7068516387678877,0.15269141098364944
search_112,0.6,0.0,0.0,0.0,0.4,0.09742010011551791,0.9166666666666666,0.17612252001392273,0.6894565673999798,0.15227534012352012
